ID,Mã Tài Xế,Họ và Tên,Số Điện Thoại,Bằng Lái,Địa Bàn,Tuyến Chính,Trạng Thái,Biển Số Xe,Lương Cơ Bản,Đơn Giá Km,Số Chuyến Đăng Ký,Số Chuyến Hoàn Thành,Số Chuyến Đang Chạy,Tổng Km Đã Đi,Lương Chuyến Đi,Tổng Lương Thực Nhận
753,TX-5071-753,"Đặng Đức Dũng",0945768431,E-20992,"Hà Nội","Hà Nội ➔ Nha Trang",ON_TRIP,29B-107.53,5000000,2000,2,0,2,0,0,5000000
320,TX-0235-320,"Đặng Đức Dũng",0914034364,E-56497,"Bến xe phía Nam Nha Trang","Nha Trang ➔ Phan Thiết",AVAILABLE,51B-103.20,5000000,2000,1,0,1,0,0,5000000
874,TX-7134-874,"Đặng Đức Hải",0942533416,E-14994,"Bến xe Liên tỉnh Đà Lạt","Đà Lạt ➔ Hà Nội",ON_TRIP,49B-108.74,5000000,2000,2,0,2,0,0,5000000
267,TX-4364-267,"Đặng Đức Hải",0939487596,E-85793,"Bến xe Trung tâm Cần Thơ","Cần Thơ ➔ Hà Nội",ON_TRIP,79B-102.67,5000000,2000,2,0,2,0,0,5000000
547,TX-4974-547,"Đặng Đức Hải",0968996968,E-86813,"Nha Trang","Nha Trang ➔ Cần Thơ",AVAILABLE,79B-105.47,5000000,2000,5,0,5,0,0,5000000
850,TX-4694-850,"Đặng Đức Long",0940433514,E-84723,"Bến xe Phan Thiết","Đà Lạt ➔ Phan Thiết",AVAILABLE,49B-108.50,5000000,2000,0,0,0,0,0,5000000
993,TX-8849-993,"Đặng Đức Nam",0927952063,E-25814,"Hà Nội","Hà Nội ➔ Đà Lạt",ON_TRIP,29B-109.93,5000000,2000,6,0,6,0,0,5000000
493,TX-9423-493,"Đặng Đức Phong",0922699549,E-93080,"Bến xe Trung tâm Cần Thơ","Cần Thơ ➔ TP. Hồ Chí Minh",AVAILABLE,43B-104.93,5000000,2000,1,0,1,0,0,5000000
112,TX-7316-112,"Đặng Đức Phong",0977849084,E-65467,"Phan Thiết","Phan Thiết ➔ Vũng Tàu",ON_TRIP,51B-101.12,5000000,2000,0,0,0,0,0,5000000
313,TX-9472-313,"Đặng Đức Tuấn",0912717187,E-97458,"Hà Nội","Hà Nội ➔ TP. Hồ Chí Minh",ON_TRIP,29B-103.13,5000000,2000,0,0,0,0,0,5000000
453,TX-4922-453,"Đặng Đức Thắng",0975087109,E-18678,"Bến xe Vũng Tàu","Vũng Tàu ➔ Đà Lạt",AVAILABLE,43B-104.53,5000000,2000,0,0,0,0,0,5000000
224,TX-9641-224,"Đặng Đức Trung",0955688867,E-88934,"Bến xe Liên tỉnh Đà Lạt","Vũng Tàu ➔ Đà Lạt",AVAILABLE,51B-102.24,5000000,2000,0,0,0,0,0,5000000
809,TX-0506-809,"Đặng Hải Dũng",0993850042,E-91720,"Bến xe Mỹ Đình","Hà Nội ➔ Đà Nẵng",ON_TRIP,29B-108.09,5000000,2000,3,1,2,760,1520000,6520000
297,TX-7686-297,"Đặng Hải Dũng",0912416204,E-25588,"Hà Nội","Hà Nội ➔ Nha Trang",ON_TRIP,29B-102.97,5000000,2000,1,0,1,0,0,5000000
144,TX-0740-144,"Đặng Hải Phong",0965338958,E-96307,"Bến xe Trung tâm Đà Nẵng","Đà Nẵng ➔ Cần Thơ",ON_TRIP,51B-101.44,5000000,2000,0,0,0,0,0,5000000
543,TX-4564-543,"Đặng Hải Phong",0990317275,E-97705,"Phan Thiết","Phan Thiết ➔ Nha Trang",AVAILABLE,86B-105.43,5000000,2000,6,0,6,0,0,5000000
590,TX-9274-590,"Đặng Hải Quang",0979733094,E-25023,"Vũng Tàu","Vũng Tàu ➔ Đà Nẵng",ON_TRIP,72B-105.90,5000000,2000,2,0,2,0,0,5000000
637,TX-3755-637,"Đặng Hải Tuấn",0919679069,E-67664,"Đà Nẵng","Đà Nẵng ➔ Cần Thơ",ON_TRIP,43B-106.37,5000000,2000,1,0,1,0,0,5000000
262,TX-3826-262,"Đặng Hải Trung",0936852466,E-53281,"Bến xe Miền Đông mới","Đà Nẵng ➔ TP. Hồ Chí Minh",AVAILABLE,72B-102.62,5000000,2000,2,0,2,0,0,5000000
109,TX-6991-109,"Đặng Hải Trung",0938948537,E-96939,"Bến xe Miền Đông mới","TP. Hồ Chí Minh ➔ Đà Lạt",ON_TRIP,43B-101.09,5000000,2000,1,0,1,0,0,5000000
111,TX-7206-111,"Đặng Hữu Dũng",0972101817,E-31828,"Bến xe Miền Đông mới","TP. Hồ Chí Minh ➔ Đà Lạt",RESTING,86B-101.11,5000000,2000,1,0,1,0,0,5000000
595,TX-9775-595,"Đặng Hữu Dũng",0956907863,E-85640,"Nha Trang","Nha Trang ➔ Đà Lạt",ON_TRIP,79B-105.95,5000000,2000,4,0,4,0,0,5000000
464,TX-6145-464,"Đặng Hữu Dũng",0921726944,E-23328,"Bến xe phía Nam Nha Trang","TP. Hồ Chí Minh ➔ Nha Trang",AVAILABLE,51B-104.64,5000000,2000,2,0,2,0,0,5000000
44,TX-0314-44,"Đặng Hữu Dũng",0941757129,E-83429,"Bến xe phía Nam Nha Trang","Nha Trang ➔ TP. Hồ Chí Minh",ON_TRIP,65B-100.44,5000000,2000,0,0,0,0,0,5000000
189,TX-5863-189,"Đặng Hữu Dũng",0971901875,E-97971,"Đà Lạt","Đà Lạt ➔ Phan Thiết",ON_TRIP,43B-101.89,5000000,2000,2,0,2,0,0,5000000
518,TX-2006-518,"Đặng Hữu Hải",0936132906,E-76587,"Bến xe Vũng Tàu","Vũng Tàu ➔ Đà Lạt",ON_TRIP,72B-105.18,5000000,2000,1,0,1,0,0,5000000
367,TX-5317-367,"Đặng Hữu Phong",0933531940,E-55784,"Bến xe Miền Đông mới","Cần Thơ ➔ TP. Hồ Chí Minh",AVAILABLE,86B-103.67,5000000,2000,0,0,0,0,0,5000000
783,TX-8036-783,"Đặng Hữu Sơn",0969702006,E-81268,"Phan Thiết","Phan Thiết ➔ Đà Nẵng",ON_TRIP,86B-107.83,5000000,2000,0,0,0,0,0,5000000
691,TX-8995-691,"Đặng Hữu Sơn",0956347252,E-35379,"Nha Trang","Nha Trang ➔ TP. Hồ Chí Minh",AVAILABLE,79B-106.91,5000000,2000,2,0,2,0,0,5000000
727,TX-2443-727,"Đặng Hữu Tuấn",0944111176,E-74804,"Bến xe phía Nam Nha Trang","Phan Thiết ➔ Nha Trang",RESTING,86B-107.27,5000000,2000,2,0,2,0,0,5000000
257,TX-3229-257,"Đặng Hữu Thắng",0982463551,E-25262,"Hà Nội","Hà Nội ➔ Nha Trang",ON_TRIP,29B-102.57,5000000,2000,1,0,1,0,0,5000000
213,TX-8461-213,"Đặng Hữu Thắng",0932059608,E-19363,"Nha Trang","Nha Trang ➔ Đà Lạt",AVAILABLE,43B-102.13,5000000,2000,0,0,0,0,0,5000000
143,TX-0630-143,"Đặng Minh Dũng",0949176294,E-26464,"Bến xe phía Nam Nha Trang","Phan Thiết ➔ Nha Trang",AVAILABLE,86B-101.43,5000000,2000,6,0,6,0,0,5000000
893,TX-9038-893,"Đặng Minh Hải",0916763066,E-14702,"Bến xe Trung tâm Đà Nẵng","Đà Nẵng ➔ Nha Trang",RESTING,43B-108.93,5000000,2000,1,0,1,0,0,5000000
917,TX-1426-917,"Đặng Minh Hải",0932406856,E-83870,"Bến xe Liên tỉnh Đà Lạt","Đà Nẵng ➔ Đà Lạt",AVAILABLE,43B-109.17,5000000,2000,4,0,4,0,0,5000000
408,TX-9828-408,"Đặng Minh Long",0955235206,E-25233,"Bến xe Phan Thiết","Cần Thơ ➔ Phan Thiết",RESTING,51B-104.08,5000000,2000,1,0,1,0,0,5000000
341,TX-2524-341,"Đặng Minh Long",0910244062,E-73188,"Bến xe Liên tỉnh Đà Lạt","Đà Nẵng ➔ Đà Lạt",AVAILABLE,43B-103.41,5000000,2000,0,0,0,0,0,5000000
552,TX-5452-552,"Đặng Minh Long",0917377612,E-63398,"TP. Hồ Chí Minh","TP. Hồ Chí Minh ➔ Hà Nội",ON_TRIP,51B-105.52,5000000,2000,3,0,3,0,0,5000000
391,TX-7975-391,"Đặng Minh Long",0970734878,E-66993,"Bến xe Phan Thiết","Phan Thiết ➔ Đà Nẵng",RESTING,86B-103.91,5000000,2000,2,0,2,0,0,5000000
199,TX-6951-199,"Đặng Minh Phong",0986053009,E-18076,"Bến xe Miền Đông mới","TP. Hồ Chí Minh ➔ Đà Lạt",AVAILABLE,86B-101.99,5000000,2000,1,1,0,310,620000,5620000
838,TX-3443-838,"Đặng Minh Phong",0951201622,E-37347,"Bến xe phía Nam Nha Trang","Vũng Tàu ➔ Nha Trang",ON_TRIP,72B-108.38,5000000,2000,1,0,1,0,0,5000000
748,TX-4547-748,"Đặng Minh Sơn",0934932536,E-26344,"Bến xe Trung tâm Cần Thơ","Cần Thơ ➔ Nha Trang",RESTING,65B-107.48,5000000,2000,1,0,1,0,0,5000000
92,TX-5226-92,"Đặng Minh Sơn",0929078163,E-96841,"Bến xe Phan Thiết","Đà Nẵng ➔ Phan Thiết",AVAILABLE,65B-100.92,5000000,2000,1,0,1,0,0,5000000
662,TX-6144-662,"Đặng Minh Tuấn",0970213313,E-94045,"Vũng Tàu","Vũng Tàu ➔ TP. Hồ Chí Minh",AVAILABLE,72B-106.62,5000000,2000,2,0,2,0,0,5000000
329,TX-1266-329,"Đặng Minh Tuấn",0940034705,E-14111,"Hà Nội","Hà Nội ➔ Đà Lạt",ON_TRIP,29B-103.29,5000000,2000,1,0,1,0,0,5000000
833,TX-2927-833,"Đặng Minh Tuấn",0930795651,E-67570,"Bến xe Trung tâm Đà Nẵng","Hà Nội ➔ Đà Nẵng",AVAILABLE,29B-108.33,5000000,2000,4,0,4,0,0,5000000
831,TX-2737-831,"Đặng Minh Thắng",0927571836,E-98039,"Phan Thiết","Phan Thiết ➔ TP. Hồ Chí Minh",ON_TRIP,86B-108.31,5000000,2000,3,0,3,0,0,5000000
364,TX-4999-364,"Đặng Minh Thắng",0981698258,E-81036,"Bến xe Mỹ Đình","Phan Thiết ➔ Hà Nội",AVAILABLE,65B-103.64,5000000,2000,2,0,2,0,0,5000000
717,TX-1457-717,"Đặng Minh Thắng",0994344939,E-78307,"Bến xe Mỹ Đình","Đà Nẵng ➔ Hà Nội",AVAILABLE,43B-107.17,5000000,2000,2,1,1,760,1520000,6520000
286,TX-6459-286,"Đặng Quang Dũng",0955776213,E-28461,"Bến xe Miền Đông mới","Đà Nẵng ➔ TP. Hồ Chí Minh",AVAILABLE,72B-102.86,5000000,2000,1,0,1,0,0,5000000
449,TX-4486-449,"Đặng Quang Hải",0923249336,E-50241,"Bến xe Trung tâm Đà Nẵng","Đà Nẵng ➔ Vũng Tàu",RESTING,29B-104.49,5000000,2000,1,0,1,0,0,5000000
956,TX-5362-956,"Đặng Quang Hải",0987973943,E-39308,"Bến xe Miền Đông mới","Cần Thơ ➔ TP. Hồ Chí Minh",AVAILABLE,65B-109.56,5000000,2000,6,0,6,0,0,5000000
867,TX-6437-867,"Đặng Quang Hải",0995354922,E-28005,"Bến xe phía Nam Nha Trang","Nha Trang ➔ Vũng Tàu",AVAILABLE,79B-108.67,5000000,2000,2,0,2,0,0,5000000
962,TX-5928-962,"Đặng Quang Hải",0934889910,E-49626,"Bến xe Trung tâm Cần Thơ","Đà Lạt ➔ Cần Thơ",RESTING,49B-109.62,5000000,2000,5,0,5,0,0,5000000
83,TX-4246-83,"Đặng Quang Long",0930982165,E-80312,"Bến xe Liên tỉnh Đà Lạt","Đà Lạt ➔ Nha Trang",ON_TRIP,79B-100.83,5000000,2000,0,0,0,0,0,5000000
682,TX-8139-682,"Đặng Quang Nam",0947535971,E-10753,"Bến xe phía Nam Nha Trang","Đà Lạt ➔ Nha Trang",AVAILABLE,49B-106.82,5000000,2000,1,0,1,0,0,5000000
825,TX-2115-825,"Đặng Quang Nam",0932597859,E-21500,"Hà Nội","Hà Nội ➔ Đà Lạt",ON_TRIP,29B-108.25,5000000,2000,4,0,4,0,0,5000000
403,TX-9279-403,"Đặng Quang Phong",0936176346,E-30256,"Bến xe Trung tâm Cần Thơ","Đà Nẵng ➔ Cần Thơ",AVAILABLE,79B-104.03,5000000,2000,1,0,1,0,0,5000000
644,TX-4417-644,"Đặng Quang Quang",0926485840,E-53865,"Cần Thơ","Cần Thơ ➔ Nha Trang",AVAILABLE,65B-106.44,5000000,2000,5,0,5,0,0,5000000
810,TX-0607-810,"Đặng Quang Quang",0962063376,E-94596,"Bến xe Liên tỉnh Đà Lạt","Đà Lạt ➔ Đà Nẵng",AVAILABLE,49B-108.10,5000000,2000,0,0,0,0,0,5000000
891,TX-8838-891,"Đặng Quang Sơn",0918685229,E-19410,"Nha Trang","Nha Trang ➔ Đà Lạt",AVAILABLE,79B-108.91,5000000,2000,3,0,3,0,0,5000000
398,TX-8737-398,"Đặng Quang Tuấn",0910387986,E-17181,"Vũng Tàu","Vũng Tàu ➔ TP. Hồ Chí Minh",AVAILABLE,72B-103.98,5000000,2000,5,0,5,0,0,5000000
61,TX-2007-61,"Đặng Quang Thắng",0926281717,E-66666,"Vũng Tàu","Vũng Tàu ➔ Đà Nẵng",ON_TRIP,43B-100.61,5000000,2000,0,0,0,0,0,5000000
954,TX-5161-954,"Đặng Quang Trung",0995748888,E-59027,"Đà Lạt","Đà Lạt ➔ Cần Thơ",AVAILABLE,49B-109.54,5000000,2000,2,0,2,0,0,5000000
418,TX-0928-418,"Đặng Thành Dũng",0952400634,E-88011,"Bến xe Liên tỉnh Đà Lạt","Đà Lạt ➔ Nha Trang",RESTING,49B-104.18,5000000,2000,10,0,10,0,0,5000000
499,TX-0039-499,"Đặng Thành Long",0919620274,E-41201,"Nha Trang","Nha Trang ➔ TP. Hồ Chí Minh",AVAILABLE,79B-104.99,5000000,2000,2,0,2,0,0,5000000
457,TX-5342-457,"Đặng Thành Long",0962338137,E-47845,"Bến xe Vũng Tàu","TP. Hồ Chí Minh ➔ Vũng Tàu",AVAILABLE,29B-104.57,5000000,2000,1,0,1,0,0,5000000
424,TX-1606-424,"Đặng Thành Nam",0937690213,E-92994,"Bến xe Liên tỉnh Đà Lạt","TP. Hồ Chí Minh ➔ Đà Lạt",RESTING,51B-104.24,5000000,2000,1,0,1,0,0,5000000
995,TX-9036-995,"Đặng Thành Phong",0933163905,E-90813,"Nha Trang","Nha Trang ➔ TP. Hồ Chí Minh",ON_TRIP,79B-109.95,5000000,2000,10,0,10,0,0,5000000
604,TX-0633-604,"Đặng Thành Phong",0998931300,E-92645,"Bến xe Trung tâm Cần Thơ","Cần Thơ ➔ Phan Thiết",RESTING,65B-106.04,5000000,2000,1,0,1,0,0,5000000
7,TX-6655-7,"Đặng Thành Phong",0933196478,E-34027,"Bến xe Miền Đông mới","TP. Hồ Chí Minh ➔ Đà Lạt",ON_TRIP,86B-100.07,5000000,2000,0,0,0,0,0,5000000
395,TX-8404-395,"Đặng Thành Sơn",0929117374,E-77801,"Bến xe Phan Thiết","Phan Thiết ➔ TP. Hồ Chí Minh",AVAILABLE,79B-103.95,5000000,2000,1,0,1,0,0,5000000
740,TX-3755-740,"Đặng Thành Sơn",0938519504,E-50939,"Bến xe Trung tâm Cần Thơ","Cần Thơ ➔ Phan Thiết",ON_TRIP,65B-107.40,5000000,2000,2,0,2,0,0,5000000
695,TX-9371-695,"Đặng Thành Tuấn",0928729360,E-95099,"Bến xe Phan Thiết","Phan Thiết ➔ Cần Thơ",AVAILABLE,86B-106.95,5000000,2000,4,0,4,0,0,5000000
308,TX-8898-308,"Đặng Thành Tuấn",0938254717,E-32241,"Bến xe phía Nam Nha Trang","Đà Nẵng ➔ Nha Trang",RESTING,65B-103.08,5000000,2000,1,0,1,0,0,5000000
20,TX-7963-20,"Đặng Thành Trung",0919492493,E-60360,"Cần Thơ","Cần Thơ ➔ Đà Lạt",ON_TRIP,65B-100.20,5000000,2000,0,0,0,0,0,5000000
965,TX-6212-965,"Đặng Văn Hải",0958674138,E-55727,"Bến xe phía Nam Nha Trang","Đà Nẵng ➔ Nha Trang",ON_TRIP,43B-109.65,5000000,2000,3,0,3,0,0,5000000
943,TX-4038-943,"Đặng Văn Long",0923655031,E-76973,"Bến xe Liên tỉnh Đà Lạt","Phan Thiết ➔ Đà Lạt",AVAILABLE,86B-109.43,5000000,2000,0,0,0,0,0,5000000
703,TX-0126-703,"Đặng Văn Nam",0933114887,E-13747,"Bến xe Liên tỉnh Đà Lạt","Phan Thiết ➔ Đà Lạt",RESTING,86B-107.03,5000000,2000,2,0,2,0,0,5000000
252,TX-2700-252,"Đặng Văn Phong",0934386427,E-34022,"Bến xe Mỹ Đình","Cần Thơ ➔ Hà Nội",AVAILABLE,65B-102.52,5000000,2000,2,0,2,0,0,5000000
925,TX-2235-925,"Đặng Văn Phong",0956839042,E-34834,"Đà Nẵng","Đà Nẵng ➔ Vũng Tàu",ON_TRIP,43B-109.25,5000000,2000,3,0,3,0,0,5000000
933,TX-3032-933,"Đặng Văn Quang",0944532359,E-26798,"Bến xe Trung tâm Đà Nẵng","Đà Nẵng ➔ Phan Thiết",ON_TRIP,43B-109.33,5000000,2000,3,0,3,0,0,5000000
591,TX-9396-591,"Đặng Văn Tuấn",0926904488,E-50308,"Bến xe Phan Thiết","Phan Thiết ➔ Vũng Tàu",RESTING,86B-105.91,5000000,2000,1,0,1,0,0,5000000
586,TX-8858-586,"Đặng Văn Tuấn",0952557153,E-85045,"Bến xe Liên tỉnh Đà Lạt","Đà Lạt ➔ Cần Thơ",ON_TRIP,49B-105.86,5000000,2000,1,0,1,0,0,5000000
32,TX-9138-32,"Đặng Văn Tuấn",0929924781,E-74730,"Bến xe Phan Thiết","Phan Thiết ➔ Đà Lạt",ON_TRIP,51B-100.32,5000000,2000,0,0,0,0,0,5000000
614,TX-1582-614,"Đặng Văn Thắng",0953348584,E-73402,"Vũng Tàu","Vũng Tàu ➔ Đà Nẵng",AVAILABLE,72B-106.14,5000000,2000,5,0,5,0,0,5000000
317,TX-9904-317,"Đặng Văn Trung",0978344468,E-64083,"Bến xe Mỹ Đình","Đà Nẵng ➔ Hà Nội",AVAILABLE,43B-103.17,5000000,2000,2,0,2,0,0,5000000
239,TX-1281-239,"Đặng Văn Trung",0918951271,E-44671,"Bến xe Trung tâm Đà Nẵng","Cần Thơ ➔ Đà Nẵng",AVAILABLE,86B-102.39,5000000,2000,2,0,2,0,0,5000000
60,TX-1903-60,"Đặng Văn Trung",0945578017,E-98263,"Bến xe Trung tâm Đà Nẵng","Đà Lạt ➔ Đà Nẵng",ON_TRIP,65B-100.60,5000000,2000,1,0,1,0,0,5000000
872,TX-6937-872,"Hoàng Anh Dũng",0922217887,E-67885,"Bến xe Phan Thiết","TP. Hồ Chí Minh ➔ Phan Thiết",AVAILABLE,51B-108.72,5000000,2000,0,0,0,0,0,5000000
207,TX-7811-207,"Hoàng Anh Dũng",0992775108,E-65314,"Bến xe Vũng Tàu","Vũng Tàu ➔ Cần Thơ",AVAILABLE,86B-102.07,5000000,2000,1,0,1,0,0,5000000
331,TX-1463-331,"Hoàng Anh Hải",0970482058,E-71322,"Bến xe Trung tâm Đà Nẵng","Đà Nẵng ➔ Cần Thơ",ON_TRIP,79B-103.31,5000000,2000,1,0,1,0,0,5000000
842,TX-3853-842,"Hoàng Anh Long",0991229006,E-53958,"Bến xe Phan Thiết","Đà Lạt ➔ Phan Thiết",RESTING,49B-108.42,5000000,2000,1,0,1,0,0,5000000
22,TX-8157-22,"Hoàng Anh Long",0928533601,E-87925,"Bến xe Liên tỉnh Đà Lạt","Đà Lạt ➔ Phan Thiết",ON_TRIP,72B-100.22,5000000,2000,0,0,0,0,0,5000000
774,TX-7151-774,"Hoàng Anh Nam",0998830706,E-76791,"Bến xe Vũng Tàu","Vũng Tàu ➔ Cần Thơ",AVAILABLE,72B-107.74,5000000,2000,1,0,1,0,0,5000000
436,TX-2956-436,"Hoàng Anh Phong",0999187843,E-34212,"Bến xe Miền Đông mới","TP. Hồ Chí Minh ➔ Đà Lạt",AVAILABLE,65B-104.36,5000000,2000,1,0,1,0,0,5000000
688,TX-8711-688,"Hoàng Anh Quang",0921701906,E-20376,"Bến xe Vũng Tàu","TP. Hồ Chí Minh ➔ Vũng Tàu",AVAILABLE,51B-106.88,5000000,2000,0,0,0,0,0,5000000
646,TX-4614-646,"Hoàng Anh Quang",0983297307,E-49424,"Bến xe Vũng Tàu","Vũng Tàu ➔ TP. Hồ Chí Minh",RESTING,72B-106.46,5000000,2000,2,1,1,100,200000,5200000
967,TX-6403-967,"Hoàng Anh Sơn",0966807929,E-14750,"Bến xe Mỹ Đình","Phan Thiết ➔ Hà Nội",RESTING,86B-109.67,5000000,2000,3,0,3,0,0,5000000
980,TX-7625-980,"Hoàng Anh Sơn",0987572604,E-96282,"Bến xe phía Nam Nha Trang","Cần Thơ ➔ Nha Trang",AVAILABLE,65B-109.80,5000000,2000,1,0,1,0,0,5000000
907,TX-0437-907,"Hoàng Anh Sơn",0957225134,E-49646,"Bến xe phía Nam Nha Trang","Nha Trang ➔ Đà Nẵng",RESTING,79B-109.07,5000000,2000,1,0,1,0,0,5000000
153,TX-1718-153,"Hoàng Anh Tuấn",0932626738,E-31877,"Bến xe Trung tâm Cần Thơ","Cần Thơ ➔ TP. Hồ Chí Minh",RESTING,29B-101.53,5000000,2000,2,0,2,0,0,5000000
492,TX-9317-492,"Hoàng Anh Tuấn",0940400112,E-34416,"Cần Thơ","Cần Thơ ➔ Vũng Tàu",ON_TRIP,65B-104.92,5000000,2000,2,0,2,0,0,5000000
379,TX-6670-379,"Hoàng Anh Trung",0955173492,E-22108,"Vũng Tàu","Vũng Tàu ➔ TP. Hồ Chí Minh",AVAILABLE,79B-103.79,5000000,2000,1,0,1,0,0,5000000
369,TX-5565-369,"Hoàng Đức Dũng",0928862519,E-13357,"Bến xe phía Nam Nha Trang","Hà Nội ➔ Nha Trang",AVAILABLE,29B-103.69,5000000,2000,2,0,2,0,0,5000000
405,TX-9500-405,"Hoàng Đức Hải",0985110655,E-81548,"Bến xe Liên tỉnh Đà Lạt","Phan Thiết ➔ Đà Lạt",AVAILABLE,43B-104.05,5000000,2000,0,0,0,0,0,5000000
778,TX-7544-778,"Hoàng Đức Long",0914627340,E-27825,"Bến xe Liên tỉnh Đà Lạt","Đà Lạt ➔ Cần Thơ",ON_TRIP,49B-107.78,5000000,2000,0,0,0,0,0,5000000
370,TX-5675-370,"Hoàng Đức Nam",0920317606,E-59668,"Bến xe Trung tâm Cần Thơ","Phan Thiết ➔ Cần Thơ",RESTING,49B-103.70,5000000,2000,1,1,0,380,760000,5760000
138,TX-0077-138,"Hoàng Đức Nam",0937330410,E-76076,"Bến xe phía Nam Nha Trang","Cần Thơ ➔ Nha Trang",AVAILABLE,49B-101.38,5000000,2000,0,0,0,0,0,5000000
885,TX-8234-885,"Hoàng Đức Nam",0943190952,E-18079,"Bến xe Trung tâm Đà Nẵng","Đà Nẵng ➔ Phan Thiết",RESTING,43B-108.85,5000000,2000,1,0,1,0,0,5000000
231,TX-0374-231,"Hoàng Đức Phong",0911361981,E-21259,"Bến xe Miền Đông mới","TP. Hồ Chí Minh ➔ Phan Thiết",AVAILABLE,86B-102.31,5000000,2000,0,0,0,0,0,5000000
699,TX-9746-699,"Hoàng Đức Quang",0916197622,E-10421,"Bến xe Phan Thiết","Nha Trang ➔ Phan Thiết",AVAILABLE,79B-106.99,5000000,2000,1,0,1,0,0,5000000
839,TX-3541-839,"Hoàng Đức Quang",0998489515,E-81717,"Bến xe Miền Đông mới","Phan Thiết ➔ TP. Hồ Chí Minh",RESTING,86B-108.39,5000000,2000,2,0,2,0,0,5000000
601,TX-0351-601,"Hoàng Đức Quang",0910995626,E-33496,"Bến xe Trung tâm Đà Nẵng","Đà Nẵng ➔ Vũng Tàu",ON_TRIP,29B-106.01,5000000,2000,1,0,1,0,0,5000000
940,TX-3742-940,"Hoàng Đức Quang",0926369601,E-60889,"Cần Thơ","Cần Thơ ➔ Hà Nội",ON_TRIP,65B-109.40,5000000,2000,3,0,3,0,0,5000000
985,TX-8098-985,"Hoàng Đức Quang",0918428909,E-52693,"Hà Nội","Hà Nội ➔ Vũng Tàu",ON_TRIP,29B-109.85,5000000,2000,4,0,4,0,0,5000000
687,TX-8617-687,"Hoàng Đức Tuấn",0925593752,E-97106,"Bến xe Vũng Tàu","Phan Thiết ➔ Vũng Tàu",AVAILABLE,86B-106.87,5000000,2000,1,0,1,0,0,5000000
99,TX-5929-99,"Hoàng Đức Tuấn",0927510180,E-35151,"Bến xe Miền Đông mới","TP. Hồ Chí Minh ➔ Cần Thơ",ON_TRIP,79B-100.99,5000000,2000,0,0,0,0,0,5000000
750,TX-4767-750,"Hoàng Đức Thắng",0913891423,E-40018,"Bến xe Vũng Tàu","Vũng Tàu ➔ Đà Nẵng",RESTING,72B-107.50,5000000,2000,1,0,1,0,0,5000000
97,TX-5737-97,"Hoàng Đức Trung",0991918412,E-89230,"Hà Nội","Hà Nội ➔ Phan Thiết",ON_TRIP,29B-100.97,5000000,2000,1,0,1,0,0,5000000
